trunk -lsr1
|    id |    name |  nvar | elapsed_time |  iter |      status | objective | neval_obj | neval_grad |
|    21 | Generic |  5000 |      5.4e+01 |  5000 | unknown |   4.2e+03 |      5002 |       4232 |
|    22 | Generic |  5000 |      6.3e+01 |  5000 | unknown |   1.6e+04 |      5002 |       4421 |
|    23 | Generic |  5000 |      4.4e-01 |    51 | unknown |   6.6e-05 |        53 |         38 |
|    24 | Generic |  5000 |      3.2e+00 |   259 | unknown |   1.8e+04 |       261 |        219 |
|    25 | Generic |  5000 |      3.8e+00 |   362 | unknown |   5.0e+03 |       364 |        300 |


P-SR1
|    id |    name |  nvar | elapsed_time |  iter |  status | objective | neval_obj | neval_grad |
|-------|---------|-------|--------------|-------|---------|-----------|-----------|------------|
|     1 | Generic |   100 |      1.1e+00 |   961 | unknown |   4.0e+00 |         1 |          1 |
|     2 | Generic |   100 |      9.1e-01 |  1011 | unknown |   2.3e-04 |         1 |          1 |
|     3 | Generic |   100 |      3.6e-01 |    18 | unknown |   4.4e-05 |         1 |          1 |
|     4 | Generic |   100 |      4.8e-01 |    22 | unknown |   2.9e+02 |         1 |          1 |
|     5 | Generic |   100 |      3.8e-01 |    41 | unknown |   8.2e+01 |         1 |          1 |
|     6 | Generic |   500 |      9.7e+00 |  4538 | unknown |   7.6e-05 |         1 |          1 |
|     7 | Generic |   500 |      1.8e+01 |  5000 | unknown |   3.7e+02 |         1 |          1 |
|     8 | Generic |   500 |      4.8e-01 |    18 | unknown |   1.1e-04 |         1 |          1 |
|     9 | Generic |   500 |      6.6e-01 |    33 | unknown |   1.7e+03 |         1 |          1 |
|    10 | Generic |   500 |      9.6e-01 |   140 | unknown |   4.8e+02 |         1 |          1 |
|    11 | Generic |  1000 |      2.3e+01 |  5000 | unknown |   4.4e+02 |         1 |          1 |
|    12 | Generic |  1000 |      3.8e+01 |  5000 | unknown |   2.3e+03 |         1 |          1 |
|    13 | Generic |  1000 |      6.2e-01 |    18 | unknown |   1.4e-04 |         1 |          1 |
|    14 | Generic |  1000 |      1.1e+00 |    36 | unknown |   3.5e+03 |         1 |          1 |
|    15 | Generic |  1000 |      1.9e+00 |   161 | unknown |   9.8e+02 |         1 |          1 |
|    16 | Generic |  2000 |      4.3e+01 |  5000 | unknown |   1.4e+03 |         1 |          1 |
|    17 | Generic |  2000 |      6.8e+01 |  5000 | unknown |   6.3e+03 |         1 |          1 |
|    18 | Generic |  2000 |      9.6e-01 |    19 | unknown |   2.7e-04 |         1 |          1 |
|    19 | Generic |  2000 |      1.4e+00 |    48 | unknown |   7.1e+03 |         1 |          1 |
|    20 | Generic |  2000 |      3.3e+00 |   181 | unknown |   2.0e+03 |         1 |          1 |
